代碼,公司,年,現金股利率,流動資產,流動負債,資產總額,固定資產,無形資產,其他資產,本期產生現金流量,財務槓桿度,營業費用─研究發展,市值(百萬元),負債總額
code,name,year,dividend,ca,cl,asset,fasset,iasset,oasset,cf,leverage,rnd,mv,lia
3022,威強電,2009,5.05,2077212,1283048,5290049,747535,38368,76259,494360,1.19,282753,8154,1446970
3022,威強電,2008,0.77,1902799,536628,4905307,1067744,21160,24203,483237,1.15,332065,4948,1521598
3022,威強電,2007,5.41,1962912,694937,4000441,969832,14808,26046,-178584,1.15,244140,8285,771779
3022,威強電,2006,11.18,1761800,419285,3518391,861255,16543,48273,148715,1,164487,5233,505213
3023,信邦,2010,7.11,1464775,1360570,5509647,278854,0,21666,154709,1.28,95148,4291,2360377
3023,信邦,2009,4.15,1182734,869500,5013434,287877,0,63268,-113866,0.25,80551,4317,1983526
3023,信邦,2008,13.98,1502839,1285662,5033140,296499,0,45957,168661,1.56,74963,1408,1933952
3023,信邦,2007,3.28,2174358,1333471,5717971,312591,0,57241,12864,1.15,94083,5314,2331356
3023,信邦,2006,6,2216298,1437179,5281933,280680,0,62333,-371546,1.14,108988,6045,2196127
3024,憶聲,2010,0.91,594344,769790,4862412,77267,0,195696,-185799,0.96,0,3495,921486
3024,憶聲,2009,0,563478,906041,5269474,159320,1821,155709,20191,0.95,0,4767,1114330
3024,憶聲,2008,0,702341,616216,5574342,128403,4763,155972,-395049,0.82,0,1947,933878
3024,憶聲,2007,1.4,1811473,1229158,6694123,164481,8398,145154,455844,0.28,20623,4746,1635877
3024,憶聲,2006,4.68,2184731,1165570,6684848,231937,11685,107250,-917942,1.68,42595,7570,1514306
3025,星通,2010,3.83,691521,140213,1124089,253916,0,141546,38820,1.02,136973,1224,198592
3025,星通,2009,2.83,698277,133931,1129710,274076,0,110663,76358,1.02,130583,1660,198010
3025,星通,2008,4.97,668720,142686,1109232,258834,0,122062,41586,1.05,122347,550,214097
3025,星通,2007,4.38,717977,110377,1122618,240764,0,104599,20209,1.05,110667,1125,187963
3025,星通,2006,4.93,829839,195169,1135927,120910,0,109891,3762,1.04,94021,1497,239448
3026,禾伸堂,2010,6.22,7617009,2955069,13267325,2607536,0,1938,27916,1.03,117618,11848,3893029
3026,禾伸堂,2009,6.41,6605074,2560709,11807516,2343154,0,6197,508621,1.02,96700,13441,3633874
3026,禾伸堂,2008,8.82,6220731,2270835,10727224,2344605,0,7028,64273,1.03,133189,5093,3421097
3026,禾伸堂,2007,6.47,6652362,2525342,10062634,2065992,0,6855,265160,1.03,149537,12543,2532056
3026,禾伸堂,2006,5.49,6246764,2633161,9427744,1836097,16602,21611,347134,1.02,109484,13331,2643092
3027,盛達,2010,0.54,742353,283022,2056740,398733,2217,96482,-92754,2.34,133917,1768,622549
3027,盛達,2009,3.12,1002206,464023,2106702,349712,1701,94973,194460,1,127697,2722,541807
3027,盛達,2008,2.4,840692,404982,1952191,425989,0,22287,64766,1,114002,780,501587
3027,盛達,2007,8.42,1064231,445053,2218179,436583,0,22721,-47800,1,110377,2318,563743
3027,盛達,2006,6.36,896398,344290,2003270,424524,0,34267,4165,1.01,97315,2015,442405
3028,增你強,2010,7.52,9789445,5989404,11490438,510014,0,20566,-94594,1.13,33574,4523,7262785
3028,增你強,2009,5.14,8119802,5814638,9852309,533114,0,22162,-393150,1.18,65047,4903,5919465
3028,增你強,2008,10.99,6836160,4129082,8433995,557183,0,26506,350256,1.41,80226,1500,4777279
3028,增你強,2007,8.16,7810964,4639158,9355397,585352,0,53929,257511,1.22,64718,4140,5323252
3028,增你強,2006,7.57,7420599,4145194,8938649,595491,0,56771,45451,1.24,88518,4773,4968552
3029,零壹,2010,2.36,1591836,664749,2051281,319277,1504,26111,-57521,100.3,39614,2806,672069
3029,零壹,2009,1.98,1444430,558641,1932066,225255,3094,139349,36105,100.58,46641,2393,566009
3029,零壹,2008,7.63,1330396,458642,1763258,228853,7751,145651,255161,100.08,62608,623,466164
3029,零壹,2007,7.25,1445232,641982,1924753,235218,27831,190451,16148,100.37,75964,831,649850
3029,零壹,2006,0,1394791,554043,1906176,244067,0,235492,107713,181.22,63879,1032,670158
3030,德律,2010,4.81,1862826,536770,4516699,2123442,6827,14422,384393,1,218809,9665,626457
3030,德律,2009,1.3,1103634,513517,3685715,2168689,15062,62858,-10945,1,166754,7404,579479
3030,德律,2008,7.02,991797,405953,3606094,2212760,22802,58771,-105337,1.01,166976,2640,566569
3030,德律,2007,2.59,1357962,462463,3339262,1638746,30487,53245,32996,1.01,155099,7136,580247
3030,德律,2006,2.96,1156538,450582,2789549,1358701,35241,39730,11116,1,115588,5176,640605
3031,佰鴻,2010,2.64,3660582,905080,6001761,63111,488,9590,329706,1.06,27833,7453,2790847
3031,佰鴻,2009,1.86,2789803,1714755,4832281,90533,733,8141,70911,1.05,32825,9403,1761249
3031,佰鴻,2008,3.08,2464611,1352596,4266638,99990,978,11168,120855,1.06,35016,3577,1394769
3031,佰鴻,2007,2.08,2258599,766174,3817013,52533,1223,6351,94856,1,32302,13759,806179
3031,佰鴻,2006,3.56,1589522,617606,2854196,48516,1468,6901,-50732,1,25756,5220,649862
3032,偉訓,2010,6.83,767232,745523,2385827,163085,9549,87387,-38523,1.09,68958,1485,810601
3032,偉訓,2009,5.96,758744,691682,2399416,163608,2760,82445,-78546,1.22,54616,1653,772743
3032,偉訓,2008,0,726932,664712,2318607,162812,4875,97478,184867,1.18,54713,705,771941
3032,偉訓,2007,8.99,797285,699293,2310119,153971,5763,113085,-148989,1.04,60676,1712,723725
3032,偉訓,2006,8.65,1021994,791449,2307708,184750,2877,90696,-34108,1.03,46503,1941,816763
3033,威健,2010,7.89,6206177,4505276,8355366,9242,0,128180,-83359,1.11,0,6354,4619538
3033,威健,2009,8.43,5381286,3658971,7304946,11054,0,128162,670780,1.18,0,4875,3728872
3033,威健,2008,12.74,4697068,2848738,6356598,20111,0,133499,103301,1.66,0,1657,2931275
3033,威健,2007,8.23,5156172,2929560,6738173,31176,2576,129623,-26160,1.25,0,4472,3060330
3033,威健,2006,8.35,5086996,2600525,6391191,22781,0,126554,199757,1.22,0,4301,3222380
3034,聯詠,2010,6.18,30061733,14846172,37007851,1538181,2890183,3465627,1435820,1.01,3523817,56308,14906771
3034,聯詠,2009,4.67,25787106,12344904,33039128,1605775,2908447,3459753,4955473,1.01,3207899,63739,12405503
3034,聯詠,2008,14.47,18491853,7275202,25695364,1737237,3190698,3625081,1195650,1.05,2853012,18211,7335801
3034,聯詠,2007,7.26,22757444,9324169,26815300,1405161,197615,593169,1121230,1.03,1601745,67146,9366638
3034,聯詠,2006,5.43,19717334,8931854,24144816,1123067,130981,625206,-1027561,1.02,1361048,76779,8974323
3035,智原,2010,2.65,4072016,1487261,7986456,835845,411754,787356,-30249,1,1321275,21337,1501324
3035,智原,2009,2.86,3569743,1370595,7626650,907006,469427,932690,434428,1,1188039,25596,1386675
3035,智原,2008,5.69,2851215,1157746,6831336,965628,544232,924821,-174903,1,1272884,9360,1175648
3035,智原,2007,4.77,3419962,1387324,7879016,1000972,410675,794863,124994,1,1045074,24983,1408290
3035,智原,2006,4.19,3179902,1313848,8083641,987287,0,716409,-716830,1.01,941608,25373,1339090
3036,文曄,2010,8.08,12436228,8956794,18175253,453338,17470,60468,-30602,1.08,100202,11736,11468935
3036,文曄,2009,7.13,10073828,6660400,14891777,465817,25235,43254,-136193,1.3,85493,6819,8623321
3036,文曄,2008,8.48,10814276,7609207,14964285,484730,33000,58004,147209,1.63,97196,2890,9459519
3036,文曄,2007,6.12,10335212,5478754,13471157,491958,0,27521,-33403,1.29,73069,6756,7857922
3036,文曄,2006,6.91,9001902,6260920,11392868,188257,0,26446,125920,1.32,48231,5277,7306694
3037,欣興,2010,4.55,27984632,16633046,74419761,24478972,20569,2229648,-1790898,1.03,965978,87892,30752022
3037,欣興,2009,3,28860225,17955341,73616110,23747223,59203,2106842,9860845,1.07,619192,71799,33654292
3037,欣興,2008,5.11,14685260,11913776,50311621,16933249,94327,646620,2284162,1.09,626595,14861,22087158
3037,欣興,2007,3.83,15998160,14986869,48033406,16097650,49017,118217,1267553,1.04,563295,60254,19666089
3037,欣興,2006,3.56,13317964,11000674,38919530,13564872,0,97079,-293397,1.03,437866,45742,14508235
3038,全台,2010,0,2435873,1602419,3982886,998595,6545,310725,15140,0.69,91500,3523,1930141
3038,全台,2009,0,2035151,1938262,3702892,1241272,13916,160161,216081,0.91,73873,2955,1989419
3038,全台,2008,0,2076991,1065653,4314220,1606077,22026,185527,-78669,0.76,76108,705,2125179
3038,全台,2007,0,2188560,2020641,4852682,1975784,22708,181501,26231,-1.3,83601,3265,2274286
3038,全台,2006,0.59,2286021,2160886,5283058,2332727,24362,224159,-119717,1.26,95438,3601,2579838
3041,揚智,2010,5.66,5129767,1117705,7152052,512496,109596,1310283,405105,1,466363,13419,1124478
3041,揚智,2009,2.49,4967316,1201319,6831878,498626,78266,1179483,1825569,1,470208,23556,1206436
3041,揚智,2008,2.22,3558052,687342,5418949,573272,97375,1156763,611046,1,457577,6149,691435
3041,揚智,2007,1.93,3954925,1029669,5891425,587414,181031,1215514,876993,1,463935,17998,1037106
3041,揚智,2006,1.74,3140769,831878,5021915,512970,53347,1223589,427250,1.02,464766,15484,839315
3042,晶技,2010,4.48,4660207,2229042,10313772,2967919,10494,38878,103133,1.03,315287,16553,3784957
3042,晶技,2009,3.39,4278622,2012901,8711286,2247824,7947,29623,500858,1.02,258557,17006,2790358
3042,晶技,2008,9.46,3539804,1490000,8091246,2592594,7947,56107,-476893,1.03,268959,5678,2465932
3042,晶技,2007,3.46,3959392,1780896,7350778,1998276,7947,98843,232001,1.03,187719,13792,2233611
3042,晶技,2006,3.85,3351817,1296358,6247058,1669862,7947,78936,584148,1.03,120920,10716,2442365
3043,科風,2010,1.89,4612583,2157892,5754977,398845,13430,39032,494950,1.02,138706,10573,2197363
3043,科風,2009,0,3082438,1245025,4267008,401639,17505,128849,176543,1.33,90482,5039,1317913
3043,科風,2008,0,2765099,913878,4079406,417084,21058,140500,-30114,1.05,114279,2079,970641
3043,科風,2007,1.71,2966456,703477,3993824,420752,23568,94664,102610,1.02,117269,6008,733407
3043,科風,2006,1.04,2004190,455370,2733237,250584,25539,53167,72682,1.02,110915,9748,484603
3044,健鼎,2010,3.61,2758367,8662117,30593826,1088999,854,27956,491423,0.94,136109,56348,10761950
3044,健鼎,2009,2.5,1870586,4607630,25625705,1515120,3113,31197,-1211561,0.91,95508,51139,7912074
3044,健鼎,2008,6.84,3942946,3875252,23318552,1920332,4899,27343,1154058,0.75,112525,14875,7689460
3044,健鼎,2007,2.05,3918797,2831924,18904659,2199490,2376,37331,-668862,1.05,107325,50274,5524127
3044,健鼎,2006,1.37,4551518,3517600,14779644,2450877,0,62871,140548,1.02,80832,43536,4942213
3045,台灣大,2010,4.7,23819685,25621285,87155457,35014385,12818208,16962244,2823839,1.02,0,264924,36285902
3045,台灣大,2009,6.34,13530729,18833732,80763936,39033012,13567671,18391362,-487333,1.04,0,237177,28690710
3045,台灣大,2008,7.55,11055600,23717197,89661329,43018691,14317314,19926288,-919064,1.04,0,185105,38758731
3045,台灣大,2007,3.49,11831063,42763948,84002457,42568638,8249458,14326382,-5739024,1.03,0,217540,52149528
3045,台灣大,2006,7.62,26112730,16564043,116971444,57224824,9036696,12013154,-895541,1.03,0,168977,27103650
3046,建碁,2010,0,1436316,782637,2108266,30937,0,42345,-93166,0.74,117321,2160,789166
3046,建碁,2009,0,1396894,680724,1970408,41548,0,47511,-43700,0.94,118887,2306,686722
3046,建碁,2008,0,1548623,823840,2142108,40867,0,60597,-142637,0.88,126388,883,914885
3046,建碁,2007,0,1870482,1142580,2528441,47698,0,70158,452742,0.88,66272,2028,1354781
3046,建碁,2006,0,1651669,1924597,3155540,478260,0,350635,293903,0.87,112093,2304,2201246
3047,訊舟,2010,0.8,1650537,580181,2357574,59198,0,72969,146632,1.02,199205,2665,771383
3047,訊舟,2009,0.38,1360404,703232,2245265,57096,1224,71006,135508,1.18,159860,3348,726736
3047,訊舟,2008,0.94,1402753,639701,1913361,51862,0,67741,88278,1.07,158264,1039,782244
3047,訊舟,2007,1.63,1551734,679282,1949797,36997,2114,68828,84204,1.01,121554,2464,839739
3047,訊舟,2006,0,1123023,672695,1510817,42744,2277,73174,128598,1.07,105255,1144,695534
3048,益登,2010,4.21,4626184,2815063,5466817,296283,3303,53222,-1245671,1.12,0,2642,3336618
3048,益登,2009,5.31,6634659,4449363,7378031,293657,2769,34672,220691,1.1,0,3036,5290715
3048,益登,2008,0,5054390,2816345,5821392,278952,0,69258,639366,2.02,0,981,3907840
3048,益登,2007,7.45,5957619,2896328,6656393,284556,0,53226,40424,1.15,0,3028,4407277
3048,益登,2006,4.78,5154653,2714515,5708089,278496,0,44800,-497936,1.07,0,2529,3627179
3049,和鑫,2010,0,8265806,2176265,13878480,4055111,53735,628959,1713227,0.71,290181,21881,5468345
3049,和鑫,2009,0,6619945,3239403,11689392,3572020,33170,614387,853727,0.96,260455,24270,3239403
3049,和鑫,2008,0,5392746,2645472,10407767,3974586,86556,593872,1467640,1.13,93626,2553,3625526
3049,和鑫,2007,0,5182029,5550749,13928576,7163585,232321,796793,765663,-8.61,184949,9249,7655164
3049,和鑫,2006,0,4252743,5739694,18305733,11534133,689850,1070081,-5909293,0.88,214892,6716,9337982
3050,鈺德,2010,1.72,1454957,469542,3765876,1140333,5659,143197,76455,-2.39,35741,2393,952158
3050,鈺德,2009,0,1374972,484051,3844867,1233643,11522,211214,93963,1.21,31454,3106,944619
3050,鈺德,2008,0,1266169,564190,3760229,1272415,23104,235741,-96937,0.33,30455,911,971508
3050,鈺德,2007,2.78,1409122,851523,4871338,1666176,33462,242049,46392,1.21,37344,2167,1113108
3050,鈺德,2006,0,1458128,814853,4838056,1742761,0,355590,-268460,0.79,37272,2155,1404853
3051,力特,2010,0,3157219,3032276,12606397,3557359,0,5630156,16745,0.6,190902,1560,11377425
3051,力特,2009,0,2967489,3125758,14806123,4144842,0,7441035,-272015,0.9,219222,1104,12108667
3051,力特,2008,0,4745664,3866150,17011840,10375862,0,1518121,-810533,0.7,295968,420,12716630
3051,力特,2007,0,8136421,6582859,22819607,13639633,0,526001,-889265,0.4,461339,5751,14769543
3051,力特,2006,0,12259982,7950180,28214479,14760217,0,1012754,-153266,-0.9,814994,11636,18088423
3054,立萬利,2010,8.5,605405,124211,1027575,121841,1263,173726,171220,0.99,11278,1241,132242
3054,立萬利,2009,0.69,888755,102791,1233887,74415,1050,175807,73558,1,13359,2374,111523
3054,立萬利,2008,0,417070,105134,781106,103232,1945,196874,596,1,21820,774,114429
3054,立萬利,2007,0,318501,66828,736204,171170,3399,130326,-105069,1,23712,2226,75179
3054,立萬利,2006,0,349846,35128,727376,103637,4034,122812,111758,1,34131,2249,44486
3055,蔚華科,2010,8.03,2097444,1014390,4247097,757761,0,24409,-203597,1.02,76480,3339,1323193
3055,蔚華科,2009,4.96,2300281,1226929,4404758,722538,0,47751,440828,1.05,62650,3245,1562636
3055,蔚華科,2008,3.83,1830235,1097658,4098016,712489,0,91438,-614735,1.15,81998,1317,1468408
3055,蔚華科,2007,8.3,3747870,1743205,6149580,702039,0,89676,545327,1.02,72596,5616,2129012
3055,蔚華科,2006,7.93,3801388,1963061,6481847,738597,0,104407,-93685,1.02,88036,5105,2341507
